r,s,t,l,max_principal,loc_x,loc_y,loc_z,dir_x,dir_y,dir_z,root_name,order,abs_dir_z
0.0,0.0,0.0133,0.0,11.516958236694336,0.0,-2.8194,6.447617,0.454357258312299,0.8907916379063359,0.0070526346196406,t00133,90.0,0.0070526346196406
0.0,0.0,0.02,0.0,17.318735122680664,0.0,-2.8194,6.447617,0.4543574639459282,0.8907915330229664,0.007052634345960606,t002,99.0,0.007052634345960606
0.03,0.01,0.0133,-0.03,34.55251693725586,-0.133193,-2.9525930000000002,6.349957,0.7238493381910877,0.6899228197819411,0.006974119618956763,r003s001t00133l-003,26.0,0.006974119618956763
0.0,0.0,0.0,-0.03,10.307435989379883,3.048,-2.60858,6.4107,0.1212910766455524,0.9925935974311224,-0.006813594125387023,l-003,0.0,0.006813594125387023
0.0,0.0,0.0,-0.015,5.153717994689941,3.048,-2.60858,6.4107,0.1212910766455524,0.9925935974311224,-0.006813594125387023,l-0015,36.0,0.006813594125387023
0.0,0.005,0.02,0.0,27.47820472717285,-0.132109,-2.95151,5.759958,0.6804625499119,0.7327543696485687,0.006461573208125045,s0005t002,100.0,0.006461573208125045
0.0,0.01,0.0,-0.015,14.312498092651367,3.048,-2.61009,6.6005899999999995,0.8159193887020212,0.578135620399276,0.0058953851158600745,s001l-0015,38.0,0.0058953851158600745
0.03,0.005,0.02,0.03,54.70064926147461,0.0,-2.8194,6.447617,0.4797003676413382,0.8774173183635761,0.005138746971384947,r003s0005t002l003,178.0,0.005138746971384947
0.015,0.01,0.0067,-0.03,26.982181549072266,3.048,-2.61009,6.6005899999999995,0.7916640961408452,0.6109358871237374,0.0050299806988074605,r0015s001t00067l-003,14.0,0.0050299806988074605
0.03,0.005,0.0067,0.0,36.97961807250977,-0.132109,-2.95151,5.759958,0.6963040587316999,0.7177326325673403,0.004530556446708718,r003s0005t00067,88.0,0.004530556446708718
